Település;ár;terület (m^2);Szobák;Építés típusa;Futés;Emelet;Ing. állapota;Lift;Megye
Budapest XIII ker;47 900 000 Ft;68;3;panel;házközponti egyedi méréssel;4;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XXI ker;31 290 000 Ft;50;2;tégla;egyéb;6;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VIII ker;37 500 000 Ft;56;1 + 1;tégla;gáz (konvektor);földszint;közepes állapotú;nem;Budapest
Budapest IX ker;37 500 000 Ft;55;2;tégla;házközponti egyedi méréssel;3;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VIII ker;37 500 000 Ft;40;1;tégla;gáz (konvektor);földszint;közepes állapotú;nem;Budapest
Budapest VII ker;69 900 000 Ft;77;3;te´gla csu´szo´zsalusbeton egye´b;gáz (cirko);1;felu´ji´tott;nem;Budapest
Budapest XIII ker;15 400 000 Ft;26;1;tégla;elektromos;szuterén;újszeru (kevesebb mint 10éves);nem;Budapest
Oroszlány;16 490 000 Ft;56;2;tégla;távfutés egyedi mérovel;4;nincs megadva;NA;Komárom-Esztergom
Budapest VIII ker;91 000 000 Ft;180;5 + 1;tégla;gáz (cirko);1;jó állapotú;igen;Budapest
Budapest XIII ker;41 500 000 Ft;45;1 + 1;tégla;házközponti egyedi méréssel;földszint;jó állapotú;igen;Budapest
Budapest XIV ker;26 900 000 Ft;45;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest XIV ker;42 900 000 Ft;53;2;tégla;egyéb;földszint;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XIV ker;36 800 000 Ft;37;1;tégla;gáz (konvektor);3;jó állapotú;nem;Budapest
Budapest X ker;23 900 000 Ft;36;1;tégla;gáz (konvektor);magasföldszint;jó állapotú;nem;Budapest
Budapest XI ker;33 900 000 Ft;42;1;tégla;gáz (konvektor);1;jó állapotú;nem;Budapest
Budapest XX ker;40 500 000 Ft;59;2 + 1;tégla;házközponti egyedi méréssel;3;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VIII ker;21 900 000 Ft;25;1;tégla;elektromos;magasföldszint;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XIV ker;31 500 000 Ft;52;2;csúszózsalusbeton;távfutés;4;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VIII ker;22 500 000 Ft;30;1;panel;házközponti egyedi méréssel;16;jó állapotú;igen;Budapest
Budapest XVIII ker;27 900 000 Ft;59;1 + 2;panel;távfutés;7;jó állapotú;igen;Budapest
Budapest VIII ker;21 900 000 Ft;27;1;tégla;elektromos;2;jó állapotú;nem;Budapest
Budapest VIII ker;28 800 000 Ft;24;1;tégla;gáz (konvektor);földszint;közepes állapotú;nem;Budapest
Budapest VI ker;44 500 000 Ft;58;1 + 1;tégla;gáz (cirko);2;jó állapotú;igen;Budapest
Budapest XIII ker;85 900 000 Ft;87;3 + 1;tégla;házközponti egyedi méréssel;5;új építésu;igen;Budapest
Budapest VIII ker;27 500 000 Ft;42;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest XIV ker;49 900 000 Ft;68;1 + 3;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);nem;Budapest
Tatabánya;18 900 000 Ft;64;3;tégla;távfutés egyedi mérovel;földszint;nincs megadva;NA;Komárom-Esztergom
Budapest XX ker;14 900 000 Ft;31;1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest XXII ker;61 500 000 Ft;85;2 + 1;te´gla csu´szo´zsalusbeton egye´b;gáz (cirko);fo¨ldszint;jo´ állapotu´;nem;Budapest
Budapest VIII ker;25 500 000 Ft;24;1;tégla;gáz (konvektor);földszint;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VI ker;49 900 000 Ft;63;2 + 1;tégla;gáz (konvektor);3;közepes állapotú;igen;Budapest
