"","telepules","ar_e_ft","terulet_m_2","szobak","epites_tipusa","futes","emelet","ing_allapota","lift","megye","egesz_szoba","felszobak_szama","regio"
"1","Budapest XIV ker",23990,33,"1","panel","tavfutes",13,"jó állapotú","1","Budapest",1,0,"Budapest"
"2","Miskolc",11700,28,"1","panel","tavfutes",10,"felújított","1","Borsod-Abaúj-Zemplén",1,0,"Eszak_Magyarorszag"
"3","Budapest III ker",22900,31,"1","panel","tavfutes",9,"felújított","1","Budapest",1,0,"Budapest"
"4","Budapest III ker",22900,31,"1","panel","tavfutes",9,"felújított","1","Budapest",1,0,"Budapest"
"5","Budapest VIII ker",19200,27,"1","panel","kozponti",8,"közepes állapotú","1","Budapest",1,0,"Budapest"
"6","Budapest VIII ker",19900,27,"1","panel","tavfutes",8,"felújítandó","1","Budapest",1,0,"Budapest"
"7","Budapest VIII ker",19900,27,"1","panel","tavfutes",8,"felújítandó","1","Budapest",1,0,"Budapest"
"8","Budapest VIII ker",20900,27,"1","panel","tavfutes",8,"közepes állapotú","1","Budapest",1,0,"Budapest"
"9","Budapest IV ker",23200,37,"1","panel","tavfutes",8,"jó állapotú","1","Budapest",1,0,"Budapest"
"10","Budapest IV ker",23200,37,"1","panel","tavfutes",8,"jó állapotú","1","Budapest",1,0,"Budapest"
"11","Debrecen",47777.4,40,"1","tégla","egyeb",8,"építés alatt","1","Hajdú-Bihar",1,0,"Eszak_Alfold"
"12","Budapest XXI ker",21900,35,"1","panel","tavfutes",8,"jó állapotú","1","Budapest",1,0,"Budapest"
"13","Budapest XXI ker",21900,35,"1","panel","tavfutes",8,"jó állapotú","1","Budapest",1,0,"Budapest"
"14","Budapest III ker",24900,32,"1","panel","kozponti",7,"felújított","1","Budapest",1,0,"Budapest"
"15","Budapest IX ker",26000,36,"1","panel","tavfutes",7,"jó állapotú","1","Budapest",1,0,"Budapest"
"16","Budapest IX ker",26000,36,"1","panel","tavfutes",7,"jó állapotú","1","Budapest",1,0,"Budapest"
"17","Budapest III ker",22000,32,"1","panel","kozponti",6,"közepes állapotú","1","Budapest",1,0,"Budapest"
