Település;ár_EFt;terulet;Szobák;Építéstípusa;Futés;Emelet;Ing. állapota;Lift;Megye;egészszoba;félszobákszáma
Budapest III ker;31000;31;1;panel;távfűtés;NA;NA;nincs;Budapest;1;0
Budapest IV ker;23900;38;1;panel;távfűtés;NA;jó állapotú;NA;Budapest;1;0
Budapest V ker;24990;26;1;tégla;gáz (cirko);NA;NA;van;Budapest;1;0
Budapest IV ker;14200;21;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Bácsalmás;10000;190;1;tégla;gáz (cirko);NA;NA;nincs;Bács-Kiskun;1;0
Budapest VII ker;13250;19;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest VII ker;14750;19;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest VIII ker;22500;28;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest X ker;18500;32;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Szeged;14990;38;1;tégla;gáz (konvektor);NA;NA;NA;Csongrád;1;0
Vác;19900;42;1;tégla;központi;NA;jó állapotú;igen;Pest;1;0
Budapest XII ker;23000;25;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;21500;24;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIII ker;39900;44;1;tégla;gáz (cirko);NA;NA;NA;Budapest;1;0
Budapest VII ker;18900;20;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest IX ker;56900;54;1;tégla;központi;NA;új építésű;igen;Budapest;1;0
Budapest XVI ker;25990;40;1;tégla;gáz;NA;jó állapotú;NA;Budapest;1;0
Keszeg;12700;55;1;tégla;egyéb;NA;felújítandó;NA;Nógrád;1;0
Budapest VII ker;33900;41;1;NA;gáz (cirko);NA;NA;NA;Budapest;1;0
Budapest XIII ker;20900;24;1;tégla;gáz (konvektor);NA;felújított;NA;Budapest;1;0
Budapest VIII ker;17950;23;1;tégla;gáz (konvektor);NA;felújított;NA;Budapest;1;0
Budapest VIII ker;60500;47;1;tégla;központi;NA;új építésű;NA;Budapest;1;0
Budapest VIII ker;53800;51;1;tégla;központi;NA;új építésű;NA;Budapest;1;0
Budapest VIII ker;36500;40;1;tégla;központi;NA;új építésű;NA;Budapest;1;0
Budapest VIII ker;43100;39;1;tégla;központi;NA;új építésű;NA;Budapest;1;0
Budapest XI ker;31900;39;1;panel;távfűtés;NA;jó állapotú;igen;Budapest;1;0
Budapest XIII ker;20900;30;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;20900;29;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;22900;41;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;23990;41;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Békéscsaba;13600;38;1;NA;gáz (konvektor);NA;NA;NA;Békés;1;0
Salgótarján;6900;27;1;tégla;gáz (konvektor);NA;NA;nincs;Nógrád;1;0
Miskolc;8400;28;1;panel;távfűtés;NA;felújított;NA;Borsod-Abaúj-Zemplén;1;0
Budapest IV ker;19900;36;1;panel;távfűtés;NA;felújítandó;NA;Budapest;1;0
Budapest XIII ker;30900;35;1;tégla;gáz;NA;felújítandó;NA;Budapest;1;0
Budapest IV ker;21500;39;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Debrecen;36900;51;1;tégla;NA;NA;NA;nincs;Hajdú-Bihar;1;0
Budapest IX ker;23900;27;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XI ker;37900;42;1;tégla;távfűtés;NA;jó állapotú;NA;Budapest;1;0
Budapest VIII ker;23900;38;1;tégla;gáz (konvektor);NA;felújítandó;NA;Budapest;1;0
Budapest XII ker;34900;36;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIX ker;14900;27;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest XV ker;21900;38;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest X ker;21900;29;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;28150;42;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest VIII ker;19500;25;1;tégla;villany;NA;felújított;NA;Budapest;1;0
Budapest XXIII ker;16990;34;1;NA;egyéb;NA;NA;nincs;Budapest;1;0
Budapest XIV ker;37990;47;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;39000;39;1;tégla;gáz (cirko);NA;NA;van;Budapest;1;0
Budapest IV ker;22500;39;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest III ker;23900;27;1;tégla;NA;NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;27900;33;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Aszód;12500;22;1;tégla;gáz (konvektor);NA;NA;nincs;Pest;1;0
Budapest VII ker;26500;27;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XI ker;25300;31;1;NA;távfűtés;NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;21800;21;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIII ker;27500;29;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XI ker;29500;41;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest X ker;24500;38;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest XXIII ker;15960;24;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest VI ker;26900;23;1;tégla;egyéb;NA;felújított;NA;Budapest;1;0
Érd;19500;31;1;tégla;gáz (cirko);NA;NA;nincs;Pest;1;0
Pécs;8500;36;1;tégla;gáz (konvektor);NA;NA;nincs;Baranya;1;0
Budapest IV ker;16900;29;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Salgótarján;7000;40;1;tégla;gáz (cirko);NA;NA;nincs;Nógrád;1;0
Budapest VII ker;24500;24;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest VI ker;24000;33;1;tégla;gáz (konvektor);NA;NA;van;Budapest;1;0
Budapest IV ker;22000;37;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XIII ker;22900;31;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest III ker;20900;25;1;tégla;gáz (konvektor);NA;jó állapotú;NA;Budapest;1;0
Budapest XV ker;25900;32;1;tégla;gáz (cirko);NA;jó állapotú;NA;Budapest;1;0
Budapest VI ker;25900;31;1;tégla;egyéb;NA;jó állapotú;NA;Budapest;1;0
Budapest IX ker;33900;38;1;tégla;egyéb;NA;felújított;igen;Budapest;1;0
Sopron;17900;28;1;tégla;NA;NA;NA;nincs;Gyor-Moson-Sopron;1;0
Budapest XX ker;21900;37;1;panel;távfűtés;NA;NA;van;Budapest;1;0
Budapest X ker;18900;25;1;tégla;villany;NA;felújított;NA;Budapest;1;0
Szeremle;4900;101;1;tégla;NA;NA;NA;nincs;Bács-Kiskun;1;0
Lábatlan;8500;34;1;tégla;villany;NA;NA;nincs;Komárom-Esztergom;1;0
Budapest VIII ker;25900;41;1;tégla;központi;NA;felújítandó;NA;Budapest;1;0
Miskolc;12450;29;1;tégla;gáz (cirko);NA;NA;nincs;Borsod-Abaúj-Zemplén;1;0
Balmazújváros;15500;29;1;tégla;távfűtés;NA;NA;nincs;Hajdú-Bihar;1;0
Budapest VIII ker;26500;28;1;tégla;villany;NA;jó állapotú;NA;Budapest;1;0
Budapest IX ker;44900;31;1;tégla;villany;NA;NA;nincs;Budapest;1;0
Budapest XIII ker;22500;29;1;tégla;gáz (konvektor);NA;NA;nincs;Budapest;1;0
Budapest XIV ker;18000;31;1;tégla;gáz (cirko);NA;NA;nincs;Budapest;1;0
Budapest IX ker;27900;19;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest VII ker;23500;20;1;tégla;villany;NA;NA;van;Budapest;1;0
Budapest X ker;32900;36;1;tégla;egyéb;NA;felújított;NA;Budapest;1;0
