TelepulesBp1Nv2egyeb3,teruletm2,szobAk,eptAtestApusategla1p,kozoskoltseg,Futesgazcirko1gazkonv,Emeletszutfszfelemf11,allapotfelujAtott1ujsze,Liftigen1nem0,Kilataspanorama1utcai,arEft
1,240,7,1," ",6,3,1,1,1,599000
1,284,8.5,1," ",1,2,3,1,NA,399000
1,275,9,1,"NA",1,1,NA,0,1,365000
1,190,5,1," ",6,1,4,0,3,344750
1,198,5,1,"NA",NA,NA,NA,1,1,340000
1,84,3,NA," ",3,2,NA,NA,NA,337466.378
1,80,3,1," ",1,2,1,1,1,332537.92
1,84,3,1," ",3,2,NA,1,3,330258.643
1,80,3,1," ",1,2,1,1,1,329426.24
1,80,3,NA," ",1,2,NA,1,NA,305000
1,187,4.5,NA," ",4,2,NA,NA,NA,289000
1,187,4.5,1,"NA",4,2,NA,1,1,289000
1,185,6,1,"NA",1,1,NA,1,3,273000
1,235,2,1," ",6,NA,4,NA,3,269250
1,280,6,1," ",6,1,2,0,1,269000
1,178,4,1,"NA",1,2,NA,1,3,265000
1,135,4.5,1,"NA",1,NA,NA,1,3,260000
1,321,7.5,1," ",1,2,3,1,NA,254800
1,99,3,1," ",3,3,2,0,NA,250000
1,109,3.5,1," ",6,1,4,1,1,250000
1,155,4,1," ",1,2,1,1,2,249990
1,170,3,1," ",6,1,4,0,1,249900
1,110,4,1," ",4,2,1,1,2,249000
1,110,4,1," ",4,2,1,1,2,249000
1,221,4,NA," ",1,2,NA,NA,NA,245000
1,221,4,1,"NA",1,2,NA,1,1,245000
1,52,1.5,1," ",1,1,3,0,NA,245000
1,123,5,1," ",6,1,4,1,1,242800
1,130,5,1," ",6,1,4,1,3,238760
1,157,3,1," ",4,3,4,1,4,235500
1,92,2.5,1," ",1,2,5,1,1,230000
1,92,2.5,1," ",1,2,NA,1,1,230000
1,92,2.5,1," ",1,2,5,1,1,230000
1,178,4,1,"NA",1,NA,NA,0,1,228000
1,186,4,1," ",1,1,1,0,3,228000
1,155,4,1," ",1,2,1,1,2,223000
1,155,4,1," ",1,2,1,1,2,223000
1,164,5,1," ",1,1,6,1,2,221400
1,164,5,1," ",1,1,6,1,2,221400
1,170,3,1," ",1,NA,1,NA,2,219900
1,152,4.5,1," ",4,1,3,1,1,215000
1,266,5.5,1," ",1,2,3,1,NA,211200
1,107,3,1," ",6,3,4,1,1,211200
1,105,3,1,"NA",4,2,NA,1,3,210000
1,87,3,1,"NA",4,1,NA,0,3,210000
1,156,4,1,"NA",2,1,NA,1,3,210000
1,200,5.5,1," ",4,2,NA,NA,1,205000
1,110,2,1,"NA",1,NA,NA,1,1,200000
1,114,4,1," ",4,3,1,1,2,199772.25
1,150,5,1," ",1,1,1,1,2,199000
1,180,4,1,"NA",6,NA,NA,0,3,199000
1,187,4,1," ",6,1,3,0,1,199000
1,150,2,1," ",1,1,1,1,2,199000
1,100,3,1," ",6,2,4,1,1,198120
1,173,4,1," ",1,1,2,0,NA,198000
1,142,6.5,1," ",1,3,4,1,1,198000
1,134,5,1," ",6,1,4,1,1,198000
1,170,3.5,1," ",1,2,5,1,1,195000
1,170,4,1,"NA",1,2,NA,1,1,194000
1,212,6,1,"NA",1,2,NA,0,1,193000
1,177,5.5,1," ",6,1,NA,0,1,189800
1,165,4.5,1,"NA",6,2,NA,1,3,189000
1,136,4.5,1," ",6,1,4,1,1,187950
1,122,4,1," ",1,3,4,1,NA,186761.9
1,106,5,1," ",1,3,4,1,2,186761.9
1,120,4,1,"NA",1,2,NA,1,3,184900
1,120,3.5,1," ",1,3,4,1,2,183750
1,140,5.5,1," ",1,2,2,1,NA,180000
1,90,3,1," ",6,1,4,1,1,177700
1,119,3.5,1," ",1,2,1,1,1,177000
1,119,3.5,1," ",1,2,1,1,1,177000
1,110,3,1," ",6,1,4,1,1,175800
1,103,4,3," ",6,2,4,1,NA,175500
1,140,4,1," ",1,NA,1,NA,1,174900
1,120,1.5,1," ",1,2,2,1,NA,174000
1,115,4.5,1," ",6,1,4,0,1,174000
1,172,5.5,1," ",1,NA,1,NA,2,170166
1,94,3,1," ",1,2,1,1,1,169000
1,94,3,1,"NA",1,2,NA,1,1,169000
1,138,3,1," ",1,1,2,0,3,169000
1,94,3,1," ",1,2,1,1,1,169000
1,144,4,1,"NA",1,NA,NA,1,3,168900
1,106,3.5,1,"NA",1,2,NA,1,3,168000
1,192,5,1," ",1,1,1,1,2,168000
1,192,5,1," ",1,1,1,1,2,168000
1,193,5,1," ",1,1,4,NA,1,168000
1,117,3.5,1," ",1,2,1,1,2,168000
1,193,3.5,1," ",1,1,4,0,1,168000
1,117,5,1," ",1,2,1,1,2,168000
3,116,5,1," ",6,3,4,0,1,167861.4
1,100,3,1,"NA",1,NA,NA,1,3,166000
