"","beta_a","beta_b"
"(Intercept)",-22352.012346008,-15449.0373547058
"terulet_m_2",518.974197374176,544.130670625516
"epites_tipusapanel",-6918.00249810623,-1901.2460343855
"epites_tipusatégla",5396.58835863515,9982.00078887917
"futesgaz",-10133.0780699951,-7297.45246957381
"futeskozponti",-11920.8465432308,-9139.07891177608
"futestavfutes",-13775.3212571691,-10312.0113897622
"futesvillany",-13815.3794483977,-9940.2161977875
"ing_allapotaépítés alatt",-588.722491864796,4123.30783965836
"ing_allapotaközepes állapotú",-2241.76760828572,1249.21840818932
"ing_allapotafelújított",9773.58565205868,13049.3114598047
"ing_allapotajó állapotú",496.074457504084,3610.29513631076
"ing_allapotaújszerû",9641.4907880457,12932.9537943418
"ing_allapotaúj építésû",9560.09495689368,12992.5462473301
"lift0",-7854.82140543206,-6234.82445539594
"egesz_szoba",6127.99062619178,7076.32112056932
"regioDel_Dunantul",1742.45341899108,6822.17197811735
"regioEszak_Magyarorszag",-13941.2070806479,-9052.40140892198
"regioBudapest",22890.8953733907,26773.0577510061
"regioKozep_Dunantul",3651.78455835119,8569.69034075046
"regioNyugat_Dunantul",-7327.61580110186,-1876.78236967293
"regioEszak_Alfold",-2653.07647074652,4022.5860152396
"regioPest",2626.0977674362,7458.35601481009
"felszobak_szama",1962.92262275036,2966.93563330313
